# NEPTS  2002 NPROJ     3 NSPIN     1
#
@ XAXIS LABEL "E-EFERMI (HARTREE)"
@ YAXIS LABEL "DENSITY OF STATES (STATES/HARTREE/CELL)"
 -8.9758E-02  1.2783E+01  1.2783E+01  1.3276E+02
 -8.9374E-02  1.2683E+01  1.2683E+01  1.3305E+02
 -8.8990E-02  1.2591E+01  1.2591E+01  1.3334E+02
 -8.8606E-02  1.2510E+01  1.2510E+01  1.3364E+02
 -8.8223E-02  1.2441E+01  1.2441E+01  1.3395E+02
 -8.7839E-02  1.2387E+01  1.2387E+01  1.3428E+02
 -8.7455E-02  1.2365E+01  1.2365E+01  1.3489E+02
 -8.7072E-02  1.2367E+01  1.2367E+01  1.3561E+02
 -8.6688E-02  1.2386E+01  1.2386E+01  1.3636E+02
 -8.6304E-02  1.2367E+01  1.2367E+01  1.3709E+02
 -8.5920E-02  1.2499E+01  1.2499E+01  1.3909E+02
 -8.5537E-02  1.2765E+01  1.2765E+01  1.4195E+02
 -8.5153E-02  1.3103E+01  1.3103E+01  1.4512E+02
 -8.4769E-02  1.3468E+01  1.3468E+01  1.4824E+02
 -8.4385E-02  1.3829E+01  1.3829E+01  1.5105E+02
 -8.4002E-02  1.4164E+01  1.4164E+01  1.5342E+02
 -8.3618E-02  1.4463E+01  1.4463E+01  1.5530E+02
 -8.3234E-02  1.4719E+01  1.4719E+01  1.5668E+02
 -8.2851E-02  1.4933E+01  1.4933E+01  1.5761E+02
 -8.2467E-02  1.5105E+01  1.5105E+01  1.5818E+02
 -8.2083E-02  1.5241E+01  1.5241E+01  1.5847E+02
 -8.1699E-02  1.5346E+01  1.5346E+01  1.5859E+02
 -8.1316E-02  1.5426E+01  1.5426E+01  1.5865E+02
 -8.0932E-02  1.5488E+01  1.5488E+01  1.5874E+02
 -8.0548E-02  1.5536E+01  1.5536E+01  1.5898E+02
 -8.0164E-02  1.5576E+01  1.5576E+01  1.5943E+02
 -7.9781E-02  1.5612E+01  1.5612E+01  1.6018E+02
 -7.9397E-02  1.5647E+01  1.5647E+01  1.6127E+02
 -7.9013E-02  1.5683E+01  1.5683E+01  1.6275E+02
 -7.8630E-02  1.5722E+01  1.5722E+01  1.6465E+02
 -7.8246E-02  1.5764E+01  1.5764E+01  1.6696E+02
 -7.7862E-02  1.5809E+01  1.5809E+01  1.6967E+02
 -7.7478E-02  1.5858E+01  1.5858E+01  1.7273E+02
 -7.7095E-02  1.5909E+01  1.5909E+01  1.7609E+02
 -7.6711E-02  1.5962E+01  1.5962E+01  1.7965E+02
 -7.6327E-02  1.6015E+01  1.6015E+01  1.8329E+02
 -7.5943E-02  1.6154E+01  1.6154E+01  1.8828E+02
 -7.5560E-02  1.6427E+01  1.6427E+01  1.9522E+02
 -7.5176E-02  1.6696E+01  1.6696E+01  2.0159E+02
 -7.4792E-02  1.6709E+01  1.6709E+01  2.0377E+02
 -7.4409E-02  1.5818E+01  1.5818E+01  1.9201E+02
 -7.4025E-02  1.4060E+01  1.4060E+01  1.6640E+02
 -7.3641E-02  1.2284E+01  1.2284E+01  1.4039E+02
 -7.3257E-02  1.0484E+01  1.0484E+01  1.1547E+02
 -7.2874E-02  1.0081E+01  1.0081E+01  1.1007E+02
 -7.2490E-02  9.9953E+00  9.9953E+00  1.0930E+02
 -7.2106E-02  9.9492E+00  9.9492E+00  1.0936E+02
 -7.1722E-02  9.9373E+00  9.9373E+00  1.1018E+02
 -7.1339E-02  9.9512E+00  9.9512E+00  1.1163E+02
 -7.0955E-02  9.9810E+00  9.9810E+00  1.1351E+02
 -7.0571E-02  1.0017E+01  1.0017E+01  1.1565E+02
 -7.0187E-02  1.0049E+01  1.0049E+01  1.1787E+02
 -6.9804E-02  1.0070E+01  1.0070E+01  1.2000E+02
 -6.9420E-02  1.0073E+01  1.0073E+01  1.2190E+02
 -6.9036E-02  1.0053E+01  1.0053E+01  1.2347E+02
 -6.8653E-02  1.0008E+01  1.0008E+01  1.2464E+02
 -6.8269E-02  9.9377E+00  9.9377E+00  1.2535E+02
 -6.7885E-02  9.8417E+00  9.8417E+00  1.2561E+02
 -6.7501E-02  9.7229E+00  9.7229E+00  1.2541E+02
 -6.7118E-02  9.5845E+00  9.5845E+00  1.2481E+02
 -6.6734E-02  9.4311E+00  9.4311E+00  1.2387E+02
 -6.6350E-02  9.2674E+00  9.2674E+00  1.2264E+02
 -6.5966E-02  9.0987E+00  9.0987E+00  1.2121E+02
 -6.5583E-02  8.9303E+00  8.9303E+00  1.1967E+02
 -6.5199E-02  8.7674E+00  8.7674E+00  1.1810E+02
 -6.4815E-02  8.6144E+00  8.6144E+00  1.1658E+02
 -6.4432E-02  8.4755E+00  8.4755E+00  1.1519E+02
 -6.4048E-02  8.3539E+00  8.3539E+00  1.1399E+02
 -6.3664E-02  8.2520E+00  8.2520E+00  1.1303E+02
 -6.3280E-02  8.1713E+00  8.1713E+00  1.1235E+02
 -6.2897E-02  8.1124E+00  8.1124E+00  1.1199E+02
 -6.2513E-02  8.0749E+00  8.0749E+00  1.1194E+02
 -6.2129E-02  8.0577E+00  8.0577E+00  1.1221E+02
 -6.1745E-02  8.0587E+00  8.0587E+00  1.1279E+02
 -6.1362E-02  8.0753E+00  8.0753E+00  1.1364E+02
 -6.0978E-02  8.1043E+00  8.1043E+00  1.1474E+02
 -6.0594E-02  8.1423E+00  8.1423E+00  1.1602E+02
 -6.0211E-02  8.1856E+00  8.1856E+00  1.1746E+02
 -5.9827E-02  8.2304E+00  8.2304E+00  1.1898E+02
 -5.9443E-02  8.2733E+00  8.2733E+00  1.2055E+02
 -5.9059E-02  8.3111E+00  8.3111E+00  1.2210E+02
 -5.8676E-02  8.3411E+00  8.3411E+00  1.2358E+02
 -5.8292E-02  8.3613E+00  8.3613E+00  1.2496E+02
 -5.7908E-02  8.3704E+00  8.3704E+00  1.2620E+02
 -5.7524E-02  8.3680E+00  8.3680E+00  1.2727E+02
