# NKPT  3001 NBND    16 NSPIN     1
# NPANEL     6
#      1   (0,0,0)/2
#    593   (1,1,0)/2
#    985   (0,1,0)/2
#   1501   (0,1,1)/2
#   1893   (1,1,1)/2
#   2485   (0,0,1)/2
#   3001   (0,0,0)/2
@ WITH G0
@ G0 ON
@ TITLE "BAND STRUCTURE"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.70855
@ XAXIS TICKLABEL    1,"(1,1,0)/2"
@ XAXIS TICK     2,     1.17844
@ XAXIS TICKLABEL    2,"(0,1,0)/2"
@ XAXIS TICK     3,     1.79581
@ XAXIS TICKLABEL    3,"(0,1,1)/2"
@ XAXIS TICK     4,     2.26569
@ XAXIS TICKLABEL    4,"(1,1,1)/2"
@ XAXIS TICK     5,     2.97425
@ XAXIS TICKLABEL    5,"(0,0,1)/2"
@ XAXIS TICK     6,     3.59161
@ XAXIS TICKLABEL    6,"(0,0,0)/2"
@ WORLD      0.00000,        -0.2,     3.59161,         0.3
@ VIEW      0.15000,     0.15000,     1.14418,     0.85000
  0.35906E-01 -0.12485E+00 -0.75795E-01 -0.75072E-01 -0.73637E-01 -0.32104E-01 -0.32021E-01 -0.29835E-01 -0.18082E-01 -0.16478E-01  0.74274E-01  0.99521E-01  0.13822E+00  0.13906E+00  0.14095E+00  0.14142E+00  0.18047E+00
  0.37103E-01 -0.12486E+00 -0.75827E-01 -0.75056E-01 -0.73602E-01 -0.32156E-01 -0.32070E-01 -0.29832E-01 -0.18159E-01 -0.16450E-01  0.74356E-01  0.99531E-01  0.13812E+00  0.13901E+00  0.14092E+00  0.14141E+00  0.18057E+00
  0.38300E-01 -0.12487E+00 -0.75860E-01 -0.75038E-01 -0.73566E-01 -0.32211E-01 -0.32120E-01 -0.29829E-01 -0.18238E-01 -0.16421E-01  0.74440E-01  0.99542E-01  0.13802E+00  0.13896E+00  0.14089E+00  0.14141E+00  0.18067E+00
  0.39497E-01 -0.12488E+00 -0.75894E-01 -0.75021E-01 -0.73529E-01 -0.32267E-01 -0.32172E-01 -0.29825E-01 -0.18319E-01 -0.16392E-01  0.74527E-01  0.99553E-01  0.13793E+00  0.13892E+00  0.14086E+00  0.14140E+00  0.18078E+00
  0.40694E-01 -0.12489E+00 -0.75929E-01 -0.75003E-01 -0.73491E-01 -0.32325E-01 -0.32225E-01 -0.29821E-01 -0.18402E-01 -0.16362E-01  0.74616E-01  0.99565E-01  0.13782E+00  0.13887E+00  0.14082E+00  0.14139E+00  0.18088E+00
  0.41891E-01 -0.12490E+00 -0.75965E-01 -0.74984E-01 -0.73451E-01 -0.32384E-01 -0.32280E-01 -0.29816E-01 -0.18487E-01 -0.16331E-01  0.74708E-01  0.99577E-01  0.13772E+00  0.13882E+00  0.14079E+00  0.14138E+00  0.18099E+00
  0.43088E-01 -0.12491E+00 -0.76002E-01 -0.74965E-01 -0.73411E-01 -0.32445E-01 -0.32337E-01 -0.29811E-01 -0.18575E-01 -0.16300E-01  0.74802E-01  0.99589E-01  0.13762E+00  0.13876E+00  0.14076E+00  0.14137E+00  0.18110E+00
  0.44284E-01 -0.12492E+00 -0.76040E-01 -0.74946E-01 -0.73370E-01 -0.32508E-01 -0.32395E-01 -0.29805E-01 -0.18665E-01 -0.16268E-01  0.74899E-01  0.99601E-01  0.13751E+00  0.13871E+00  0.14072E+00  0.14136E+00  0.18122E+00
  0.45481E-01 -0.12493E+00 -0.76079E-01 -0.74926E-01 -0.73327E-01 -0.32573E-01 -0.32454E-01 -0.29799E-01 -0.18756E-01 -0.16236E-01  0.74998E-01  0.99614E-01  0.13740E+00  0.13866E+00  0.14068E+00  0.14135E+00  0.18134E+00
  0.46678E-01 -0.12494E+00 -0.76119E-01 -0.74905E-01 -0.73284E-01 -0.32639E-01 -0.32515E-01 -0.29793E-01 -0.18850E-01 -0.16203E-01  0.75099E-01  0.99627E-01  0.13729E+00  0.13860E+00  0.14065E+00  0.14134E+00  0.18145E+00
  0.47875E-01 -0.12495E+00 -0.76160E-01 -0.74884E-01 -0.73239E-01 -0.32707E-01 -0.32578E-01 -0.29786E-01 -0.18947E-01 -0.16170E-01  0.75203E-01  0.99641E-01  0.13717E+00  0.13855E+00  0.14061E+00  0.14133E+00  0.18158E+00
  0.49072E-01 -0.12496E+00 -0.76202E-01 -0.74863E-01 -0.73194E-01 -0.32777E-01 -0.32642E-01 -0.29779E-01 -0.19045E-01 -0.16136E-01  0.75309E-01  0.99654E-01  0.13706E+00  0.13849E+00  0.14057E+00  0.14132E+00  0.18170E+00
  0.50269E-01 -0.12497E+00 -0.76246E-01 -0.74841E-01 -0.73147E-01 -0.32848E-01 -0.32708E-01 -0.29771E-01 -0.19145E-01 -0.16102E-01  0.75417E-01  0.99668E-01  0.13694E+00  0.13843E+00  0.14053E+00  0.14131E+00  0.18183E+00
